Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Third round,5,Thu,2024-11-14,17:00 (23:30),Kuwait kw,1–3,kr Korea Republic,22791,Jaber Al-Ahmad International Stadium,Shaun Evans,Match Report,
Third round,5,Thu,2024-11-14,19:00 (21:30),Korea DPR kp,2–3,ir IR Iran,150,Lao National Stadium KM16 (Neutral Site),Sadullo Gulmurodi,Match Report,
Third round,5,Thu,2024-11-14,19:15 (01:45),Qatar qa,3–2,uz Uzbekistan,10759,Jassim bin Hamad Stadium,Kim Jonghyeok,Match Report,
Third round,5,Thu,2024-11-14,19:15 (01:45),Iraq iq,0–0,jo Jordan,65000,Basra Sports City Stadium,Mohammed Khaled Al Hoish,Match Report,
Third round,5,Thu,2024-11-14,20:00 (01:30),Oman om,1–0,ps Palestine,21754,Sultan Qaboos Sport Complex,Fu Ming,Match Report,
Third round,5,Thu,2024-11-14,20:10 (18:40),Australia au,0–0,sa Saudi Arabia,27491,AAMI Park,Adel Ali Al Naqbi,Match Report,
Third round,5,Thu,2024-11-14,20:15 (01:45),UAE ae,3–0,kg Kyrgyz Republic,6238,Mohammed bin Zayed Stadium,Ahmed Abu Bakar Al Kaf,Match Report,
Third round,5,Fri,2024-11-15,19:00 (21:30),Indonesia id,0–4,jp Japan,60304,Stadion Utama Gelora Bung Karno,Mooud Bonyadifard,Match Report,
,,,,,,,,,,,,
Third round,6,Tue,2024-11-19,17:00 (23:30),Palestine ps,1–1,kr Korea Republic,2405,Amman International Stadium (Neutral Site),Yūsuke Araki,Match Report,
Third round,6,Tue,2024-11-19,19:00 (21:30),Korea DPR kp,0–1,uz Uzbekistan,166,Lao National Stadium KM16 (Neutral Site),Ahmad Al Ali,Match Report,
Third round,6,Tue,2024-11-19,19:00 (21:30),Indonesia id,2–0,sa Saudi Arabia,55970,Stadion Utama Gelora Bung Karno,Rustam Lutfullin,Match Report,
Third round,6,Tue,2024-11-19,20:00 (01:30),Oman om,0–1,iq Iraq,26377,Sultan Qaboos Sport Complex,Omar Mohamed Al Ali,Match Report,
Third round,6,Tue,2024-11-19,20:00 (23:30),Kyrgyz Republic kg,2–3,ir IR Iran,10021,Stadion imeni Dolena Omurzakova,Ma Ning,Match Report,
Third round,6,Tue,2024-11-19,20:00 (21:30),China PR cn,1–3,jp Japan,45336,Xiamen Egret Stadium,Taqi Aljaafari,Match Report,
Third round,6,Tue,2024-11-19,20:00 (01:30),UAE ae,5–0,qa Qatar,13825,Al Nahyan Stadium,Khalid Saleh Al Turais,Match Report,
Third round,6,Tue,2024-11-19,21:15 (03:45),Bahrain bh,2–2,au Australia,6873,Stād Al Bahrayn Al Watanī,Ko Hyungjin,Match Report,
Third round,6,Tue,2024-11-19,21:15 (03:45),Kuwait kw,1–1,jo Jordan,29400,Jaber Al-Ahmad International Stadium,Nazmi Nasaruddin,Match Report,
,,,,,,,,,,,,
Third round,7,Thu,2025-03-20,19:30 (01:30),IR Iran ir,2–0,ae UAE,20469,Azadi Stadium,Ko Hyungjin,Match Report,
Third round,7,Thu,2025-03-20,19:35 (20:05),Japan jp,2–0,bh Bahrain,58137,Saitama Stadium 2002,Abdulrahman Ibrahim Al Jassim,Match Report,
Third round,7,Thu,2025-03-20,20:00 (20:30),Korea Republic kr,1–1,om Oman,35212,Goyang Stadium,Alireza Faghani,Match Report,
Third round,7,Thu,2025-03-20,20:10 (18:40),Australia au,5–1,id Indonesia,35241,Allianz Stadium,Adham Makhadmeh,Match Report,
Third round,7,Thu,2025-03-20,21:00 (01:30),Uzbekistan uz,1–0,kg Kyrgyz Republic,32458,Milliy Stadioni,Yūsuke Araki,Match Report,
Third round,7,Thu,2025-03-20,21:15 (03:45),Iraq iq,2–2,kw Kuwait,45851,Basra Sports City Stadium,Ma Ning,Match Report,
Third round,7,Thu,2025-03-20,21:15 (03:45),Jordan jo,3–1,ps Palestine,9555,Amman International Stadium,Shaun Evans,Match Report,
Third round,7,Thu,2025-03-20,21:15 (03:45),Saudi Arabia sa,1–0,cn China PR,24742,Al Awwal Park Stadium,Omar Mohamed Al Ali,Match Report,
Third round,7,Thu,2025-03-20,21:15 (03:45),Qatar qa,5–1,kp Korea DPR,10375,Jassim bin Hamad Stadium,Mohanad Qasim Sarray,Match Report,
,,,,,,,,,,,,
Third round,8,Tue,2025-03-25,19:00 (20:30),China PR cn,0–2,au Australia,70588,Hangzhou Olympic Sports Center,Mooud Bonyadifard,Match Report,
Third round,8,Tue,2025-03-25,19:30 (01:30),IR Iran ir,2–2,uz Uzbekistan,36702,Azadi Stadium,Ahmed Abu Bakar Al Kaf,Match Report,
Third round,8,Tue,2025-03-25,19:35 (20:05),Japan jp,0–0,sa Saudi Arabia,58003,Saitama Stadium 2002,Ahmad Al Ali,Match Report,
Third round,8,Tue,2025-03-25,19:45 (23:15),Kyrgyz Republic kg,3–1,qa Qatar,12325,Stadion imeni Dolena Omurzakova,Nazmi Nasaruddin,Match Report,
Third round,8,Tue,2025-03-25,20:00 (20:30),Korea Republic kr,1–1,jo Jordan,41532,Suwon World Cup Stadium,Ilgiz Tantashev,Match Report,
Third round,8,Tue,2025-03-25,20:45 (23:15),Indonesia id,1–0,bh Bahrain,69599,Stadion Utama Gelora Bung Karno,Sadullo Gulmurodi,Match Report,
Third round,8,Tue,2025-03-25,21:15 (03:45),Korea DPR kp,1–2,ae UAE,223,Prince Faisal bin Fahd Stadium,Mohammed Khaled Al Hoish,Match Report,
Third round,8,Tue,2025-03-25,21:15 (03:45),Palestine ps,2–1,iq Iraq,7305,Amman International Stadium,Khalid Saleh Al Turais,Match Report,
Third round,8,Tue,2025-03-25,21:15 (03:45),Kuwait kw,0–1,om Oman,41322,Jaber Al-Ahmad International Stadium,Salman Ahmad Falahi,Match Report,
,,,,,,,,,,,,
Third round,9,Thu,2025-06-05,19:00 (01:30),Bahrain bh,0–2,sa Saudi Arabia,15075,Stād Al Bahrayn Al Watanī,Ilgiz Tantashev,Match Report,
Third round,9,Thu,2025-06-05,20:00 (01:30),Oman om,0–3,jo Jordan,13878,Sultan Qaboos Sport Complex,Khalid Saleh Al Turais,Match Report,
Third round,9,Thu,2025-06-05,20:00 (01:30),UAE ae,0–0,uz Uzbekistan,9820,Al Nahyan Stadium,Shaun Evans,Match Report,
Third round,9,Thu,2025-06-05,20:45 (23:15),Indonesia id,1–0,cn China PR,69661,Stadion Utama Gelora Bung Karno,Rustam Lutfullin,Match Report,
Third round,9,Thu,2025-06-05,21:10 (20:40),Australia au,1–0,jp Japan,57226,Optus Stadium,Qasim Matar Al Hatmi,Match Report,
Third round,9,Thu,2025-06-05,21:15 (03:45),Korea DPR kp,2–2,kg Kyrgyz Republic,100,Prince Faisal bin Fahd Stadium (Neutral Site),Adham Makhadmeh,Match Report,
Third round,9,Thu,2025-06-05,21:15 (03:45),Kuwait kw,0–2,ps Palestine,5250,Jaber Al-Ahmad International Stadium,Sadullo Gulmurodi,Match Report,
Third round,9,Thu,2025-06-05,21:15 (03:45),Iraq iq,0–2,kr Korea Republic,55972,Basra Sports City Stadium,Yūsuke Araki,Match Report,
Third round,9,Thu,2025-06-05,21:15 (03:45),Qatar qa,1–0,ir IR Iran,8925,Jassim bin Hamad Stadium,Mohammed Khaled Al Hoish,Match Report,
,,,,,,,,,,,,
Third round,10,Tue,2025-06-10,18:45 (23:15),Uzbekistan uz,3–0,qa Qatar,32931,Milliy Stadioni,Ma Ning,Match Report,
Third round,10,Tue,2025-06-10,19:00 (20:30),China PR cn,1–0,bh Bahrain,51236,Chongqing Longxing Football Stadium,Adel Ali Al Naqbi,Match Report,
Third round,10,Tue,2025-06-10,19:30 (01:30),IR Iran ir,3–0,kp Korea DPR,16803,Azadi Stadium,Nazmi Nasaruddin,Match Report,
Third round,10,Tue,2025-06-10,19:35 (20:05),Japan jp,6–0,id Indonesia,33661,Panasonic Stadium Suita,Kim Jonghyeok,Match Report,
Third round,10,Tue,2025-06-10,19:45 (23:15),Kyrgyz Republic kg,1–1,ae UAE,12258,Stadion imeni Dolena Omurzakova,Ahmad Al Ali,Match Report,
Third round,10,Tue,2025-06-10,20:00 (20:30),Korea Republic kr,4–0,kw Kuwait,41119,Seoul World Cup Stadium,Majed Mohammed Al Shamrani,Match Report,
Third round,10,Tue,2025-06-10,21:15 (03:45),Jordan jo,0–1,iq Iraq,15502,Amman International Stadium,Omar Mohamed Al Ali,Match Report,
Third round,10,Tue,2025-06-10,21:15 (03:45),Palestine ps,1–1,om Oman,8500,King Abdullah International Stadium,Mooud Bonyadifard,Match Report,
Third round,10,Tue,2025-06-10,21:15 (03:45),Saudi Arabia sa,1–2,au Australia,24620,Al Inma Stadium,Abdulrahman Ibrahim Al Jassim,Match Report,
,,,,,,,,,,,,
Fourth round,1,Wed,2025-10-08,18:00 (00:30),Oman om,0–0,qa Qatar,12975,Jassim bin Hamad Stadium,Yūsuke Araki,Match Report,
Fourth round,1,Wed,2025-10-08,20:15 (02:45),Indonesia id,2–3,sa Saudi Arabia,40634,Al Inma Stadium,Ahmad Al Ali,Match Report,
,,,,,,,,,,,,
Fourth round,2,Sat,2025-10-11,20:15 (02:45),UAE ae,2–1,om Oman,8817,Jassim bin Hamad Stadium,Alireza Faghani,Match Report,
Fourth round,2,Sat,2025-10-11,22:30 (05:00),Iraq iq,1–0,id Indonesia,14687,Al Inma Stadium,Ma Ning,Match Report,
,,,,,,,,,,,,
Fourth round,3,Tue,2025-10-14,20:00 (02:30),Qatar qa,2–1,ae UAE,13038,Jassim bin Hamad Stadium,Ilgiz Tantashev,Match Report,
Fourth round,3,Tue,2025-10-14,21:45 (04:15),Saudi Arabia sa,0–0,iq Iraq,60816,Al Inma Stadium,Adham Makhadmeh,Match Report,
,,,,,,,,,,,,
Fifth round,,Thu,2025-11-13,20:00 (01:30),UAE ae,1–1,iq Iraq,32008,Mohammed bin Zayed Stadium,Shaun Evans,Match Report,Leg 1 of 2
Fifth round,,Tue,2025-11-18,19:00 (01:30),Iraq iq,2–1,ae UAE,62444,Basra Sports City Stadium,Yūsuke Araki,Match Report,Leg 2 of 2; Iraq won

# https://fbref.com/en/comps/7/schedule/WCQ----AFC-M-Scores-and-Fixtures
