Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Second round,1,Thu,2023-11-16,21:00 (03:30),Yemen ye,0–2,bh Bahrain,1291,Prince Sultan bin Abdul Aziz Stadium,Kim Heegon,Match Report,
Second round,1,Thu,2023-11-16,21:00 (22:30),Malaysia my,4–3,kg Kyrgyz Republic,17142,Stadium Nasional Bukit Jalil,Ammar Ebrahim Mahfoodh,Match Report,
,,,,,,,,,,,,
Second round,2,Tue,2023-11-21,14:00 (18:30),Pakistan pk,1–6,tj Tajikistan,18316,Jinnah Sports Stadium,Yūsuke Araki,Match Report,
Second round,2,Tue,2023-11-21,16:00 (19:00),Myanmar mm,1–6,kp Korea DPR,9500,Thuwunna Youth Training Center - Stadium,Ilgiz Tantashev,Match Report,
Second round,2,Tue,2023-11-21,17:00 (23:30),Palestine ps,0–1,au Australia,14537,Jaber Al-Ahmad International Stadium (Neutral Site),Qasim Matar Al Hatmi,Match Report,
Second round,2,Tue,2023-11-21,17:45 (21:15),Bangladesh bd,1–1,lb Lebanon,6297,Bashundhara Kings Arena,Kim Daeyong,Match Report,
Second round,2,Tue,2023-11-21,17:45 (00:15),Syria sy,0–5,jp Japan,6130,Prince Abdullah Al Faisal Stadium,Ma Ning,Match Report,
Second round,2,Tue,2023-11-21,18:00 (22:30),Uzbekistan uz,2–2,ir IR Iran,32551,Milliy Stadioni,Mohammed Abdulla Hassan,Match Report,
Second round,2,Tue,2023-11-21,18:00 (01:30),Jordan jo,0–2,sa Saudi Arabia,13845,Amman International Stadium,Ahmed Abu Bakar Al Kaf,Match Report,
Second round,2,Tue,2023-11-21,18:45 (01:15),Bahrain bh,0–2,ae UAE,18267,Stād Al Bahrayn Al Watanī,Mohammed Khaled Al Hoish,Match Report,
Second round,2,Tue,2023-11-21,19:00 (21:30),Vietnam vn,0–1,iq Iraq,20568,Sân vận động quốc gia Mỹ Đình,Abdulla Ali Al Athba,Match Report,
Second round,2,Tue,2023-11-21,19:00 (23:00),India in,0–3,qa Qatar,11389,Kalinga Stadium,Sivakorn Pu-udom,Match Report,
Second round,2,Tue,2023-11-21,19:00 (20:30),Chinese Taipei tw,0–1,my Malaysia,9521,Taipei Municipal Stadium,Majed Mohammed Al Shamrani,Match Report,
Second round,2,Tue,2023-11-21,19:00 (22:45),Nepal np,0–2,ye Yemen,13735,Dasharath Rangasala,Shen Yinhao,Match Report,
Second round,2,Tue,2023-11-21,19:00 (20:30),Philippines ph,1–1,id Indonesia,9880,Rizal Memorial Stadium,Kim Jonghyeok,Match Report,
Second round,2,Tue,2023-11-21,20:00 (02:30),Afghanistan af,0–4,kw Kuwait,330,Prince Mohammed bin Fahad bin Abdulaziz ... (Neutral Site),Ahmed Al Ali,Match Report,
Second round,2,Tue,2023-11-21,20:00 (23:30),Kyrgyz Republic kg,1–0,om Oman,10783,Stadion imeni Dolena Omurzakova,Mooud Bonyadifard,Match Report,
Second round,2,Tue,2023-11-21,20:00 (21:30),Hong Kong hk,2–2,tm Turkmenistan,6601,Hong Kong Stadium,Adel Ali Al Naqbi,Match Report,
Second round,2,Tue,2023-11-21,20:00 (21:30),Singapore sg,1–3,th Thailand,29644,National Stadium,Ahmad Al Ali,Match Report,
