Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
WCQ — Inter-confederation play-offs semi-finals (M),Thu,2026-03-26,16:00 (07:30),Bolivia bo,2–1,sr Suriname,33547,Estadio BBVA Bancomer (Neutral Site),Alireza Faghani,Match Report,
WCQ — Inter-confederation play-offs semi-finals (M),Thu,2026-03-26,21:00 (12:30),New Caledonia nc,0–1,jm Jamaica,40983,Estadio Akron (Neutral Site),Gustavo Tejera,Match Report,
WCQ — Inter-confederation play-offs finals (M),Tue,2026-03-31,15:00 (06:30),Congo DR cd,1–0,jm Jamaica,39983,Estadio Akron (Neutral Site),Facundo Tello,Match Report,Required Extra Time
WCQ — Inter-confederation play-offs finals (M),Tue,2026-03-31,21:00 (12:30),Iraq iq,2–1,bo Bolivia,49286,Estadio Akron (Neutral Site),Iván Barton,Match Report,

# https://fbref.com/en/comps/255/2026/schedule/2026-FIFA-World-Cup-Qualification----Inter-confederation-play-offs-Scores-and-Fixtures
